name,description,unit_weight,text_item,type,status,sub_rent,quantity
Audio - Speakers (Active),"",68.34,false,,,false,0.0
LD Maui 28 G2 System,"",30.9,false,Rental,Booked Out,false,1.0
Upper vertical array (LD Maui 28 G2),"",5.6,false,Rental,Booked Out,false,1.0
Lower vertical array (LD Maui 28 G2),"",5.6,false,Rental,Booked Out,false,1.0
8 inch sub (LD Maui 28 G2),"",19.7,false,Rental,Booked Out,false,1.0
"IEC C13 Socket to 3pin UK Plug, 03m","",0.34,false,Rental,Booked Out,false,1.0
Flight Case (Maui 28 G2 Array),"",6.0,false,Rental,Booked Out,false,1.0
"Soft case, for LD Maui 28 G2 Sub","",0.2,false,Rental,Booked Out,false,1.0
Audio - Microphones,"",1.22,false,,,false,0.0
Shure SM58,"",0.23,false,Rental,Booked Out,false,1.0
Microphone clip,"",0.99,false,Rental,Booked Out,false,1.0
Audio Cable - XLR,"",0.86,false,,,false,0.0
"XLR(m) to XLR(f) cable, 05m","",0.31,false,Rental,Booked Out,false,1.0
"XLR(m) to XLR(f) cable, 10m","",0.55,false,Rental,Booked Out,false,1.0
Audio Cable - Adapters,"",0.12,false,,,false,0.0
"3.5mm TRS Jack(m) to RCA(m) stereo cable, VDC, 01.5m","",0.11,false,Rental,Booked Out,false,1.0
iPhone Lightning to 3.5mm Headphone Jack Adaptor,"",0.01,false,Rental,Booked Out,false,1.0
Flight Cases,"",1.0,false,,,false,0.0
Microphone Case (holds 4),"",1.0,false,Rental,Booked Out,false,1.0
Storage,"",1.61,false,,,false,0.0
Storage crate (21.1 litre black/red),"",1.61,false,Rental,Booked Out,false,1.0
