Id,Name,Product Group,Stock Method,Post Rent Unavailability,Replacement Charge,Weight,Description,Active,Accessory Only,Tags,Tests & Inspections,Rental Price,Discountable,mainsPowerReq,powerType,Replacement Charge Date,Testable?,prefPwrCbl,isCable,connector1,connector2
1075,"16A to TRUE1 Female, 05m",Accessories,Serialised,0,0,1.4,,Yes,No,,,0,Yes,,,,No,,,,
921,2nd tier adapter for K&M 18950 Keyboard Stand,Accessories,Serialised,0,0,1.08,2nd tier adapter for K&M 18950 Keyboard Stand,Yes,No,,,3,Yes,,,,No,,,,
1007,"4k HDMI Splitter, 1 in 4 out",Accessories,Serialised,0,0,0.07,,Yes,No,,,10,Yes,,,,No,,,,
695,5 port network hub power supply,Accessories,Serialised,0,10,0.07,"5 port network switch / hub power supply, 5V.",Yes,Yes,"wifi router,5v,power supply,router power supply",,0,Yes,,,,No,,,,
1080,"6.35mm TRS Jack(m) to 6.35mm TRS Jack(m) cable, 1m",Accessories,Serialised,0,0,0.1,,Yes,No,,,0,Yes,,,,No,,,,
745,8 Port Gigabit Netgear GS308 power supply,Accessories,Serialised,0,15,0.1,Netgear 12V power supply for 8 Port Gigabit Ethernet Switch Netgear GS308.,Yes,Yes,"power supply,8 port power supply,netgear power supply,netgear supply,8 port netgear,netgear,12v power supply",,0,Yes,,,,,,,,
1103,AlphaTheta Euphonia Professional 4-channel rotary mixer,Accessories,Serialised,0,3249,10,"Introducing the AlphaTheta Euphonia, a revolutionary DJ rotary mixer. This ground-breaking device boasts a 4-channel rotary mixer with 3-band EQs on each channel, impressive built-in digital FX, an intuitive spectral analyser, digital VU meters - and to top it all off - a renowned Rupert Neve transformer is built in.

The Euphonia, designed by AlphaTheta (the parent company of Pioneer DJ), embodies cutting-edge technology; timeless craftsmanship and user-centric design, setting a new standard for rotary mixers in the industry.

429.2 × 331.0 × 119.9 mm / 16.90"" × 13.03"" x 4.72""",Yes,No,"djmixer,Mixer,dj",,150,Yes,,,,No,,,,
760,Analog to digital audio converter POWER SUPPLY,Accessories,Serialised,0,0,0.39,Analog to digital audio converter POWER SUPPLY,Yes,Yes,,,0,Yes,,,,No,,,,
1074,Apple lightning cable USBA,Accessories,Bulk,0,0,0.05,,Yes,No,,,0,Yes,,,,No,,,,
776,APUTURE Control Box Fixture Clamp,Accessories,Serialised,0,0,0.65,APUTURE Control Box Fixture Clamp,Yes,No,,,0,Yes,,,,No,,,,
775,APUTURE NOVA P300 Control box,Accessories,Serialised,0,0,0.45,APUTURE NOVA P300 Control box,Yes,No,,,0,Yes,,,,No,,,,
781,ART Cleanbox Pro Power Supply,Accessories,Serialised,0,0,0.19,ART Cleanbox Pro Power Supply,Yes,No,,,0,Yes,,,,No,,,,
1138,Astera IR Remote Control ARC3,Accessories,Serialised,0,0,0.02,,Yes,No,,,0,Yes,,,,No,,,,
872,Battery powered mirror ball rotator,Accessories,Serialised,0,0,0.14,,Yes,No,,,0,Yes,,,,No,,,,
1048,Black cotton casement fabric 1.22m width per m,Accessories,None,0,0,0,,Yes,No,,,,Yes,,,,No,,,,
1088,Black star cloth 9m & 3m,Accessories,Bulk,0,0,0,,Yes,No,,,240,Yes,,,,No,,,,
946,Blanking Flats,Accessories,Bulk,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
874,"Cable tie, white, pack of 100, 300mm",Accessories,Bulk,0,0,0.2,,Yes,No,,,,Yes,,,,No,,,,
937,Cameo DMX controller power supply,Accessories,Serialised,0,0,0.08,Cameo DMX controller power supply,Yes,No,,,0,Yes,,,,No,,,,
881,"Cam strap, 2m",Accessories,Bulk,0,0,0.3,,Yes,No,,,0,Yes,,,,No,,,,
1071,Chauvet DJ EVE E-100Z Metal & Glass Gobo Holders,Accessories,Serialised,0,0,0.07,,Yes,No,,,0,Yes,,,,No,,,,
1079,Chauvet EVE E50Z LED Gobo Holder,Accessories,Serialised,0,0,0.07,,Yes,No,,,0,Yes,,,,No,,,,
801,Chauvet Gig bar MOVE Foot Pedal,Accessories,Serialised,0,50,0,Wireless footswitch to control GIG bar,Yes,No,,,0,Yes,,,,,,,,
803,Chauvet Gig bar screw in remote lock,Accessories,Bulk,0,0,0.01,,Yes,No,,,0,Yes,,,,No,,,,
1077,"Coaxial Cable, 02m",Accessories,Serialised,0,0,0.09,,Yes,No,,,0,Yes,,,,No,,,,
1101,"Coaxial Cable, 0.5m",Accessories,Serialised,0,5,0.05,"Patchcord assembly for wireless and general instrumentation applications

Nickel-plated bodies with gold-plated contacts

Cable Length: 0.5m",Yes,No,,,0,Yes,,,,No,,,,
941,Engineer cable kit,Accessories,Bulk,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
925,Fender Foot Pedal,Accessories,Serialised,0,0,0.3,Fender Foot Pedal,Yes,No,,,0,Yes,,,,No,,,,
1105,Flight Case (AphaTheta Euphonia Mixer),Accessories,Serialised,0,190,5.5,,Yes,No,flight case,,0,Yes,,,,No,,,,
986,Gravity MSTM 1 B Microphone Table Clamp,Accessories,Serialised,0,10,0.19,,Yes,No,,,3,Yes,,,,No,,,,
1016,"Half Coupler, 32-35 mm, black, 75KG SWL",Accessories,Serialised,0,0,0.1,,Yes,No,"half coupler,half coupler 75,half coupler 75kg",,0,Yes,,,,No,,,,
816,Hanging bracket for Spot 375Z,Accessories,Serialised,0,35,0.64,Hanging bracket for Spot 375Z,Yes,No,,,0,Yes,,,,,,,,
1076,"HDMI Cable, 10m",Accessories,Serialised,0,0,0.8,,Yes,No,,,0,Yes,,,,No,,,,
1118,IDT-GSTK,Accessories,Serialised,0,248,1,Ground stacking accessory,Yes,Yes,,,0,Yes,,,,No,,,,
1097,Ipad Cable (2017 model year),Accessories,Serialised,0,0,0.04,,Yes,No,,,0,Yes,,,,No,,,,
802,Laser key,Accessories,Serialised,0,1,0.01,Chauvet Gig bar MOVE laser key,Yes,No,,,0,Yes,,,,No,,,,
1069,Laserworld 9 pin Interlock,Accessories,Bulk,0,0,0.01,,Yes,Yes,,,0,Yes,,,,No,,,,
988,Manfrotto 035WDG Wedge for 035 S Clamp,Accessories,Bulk,0,1.55,0.01,,Yes,Yes,,,0,Yes,,,,No,,,,
923,Manfrotto Baby pin coupler,Accessories,Serialised,0,0,0.56,"Manfrotto Baby pin coupler 
SWL 300kg",Yes,No,,,0,Yes,,,,No,,,,
538,micro deposit,Accessories,Bulk,0,0,0,micro deposits taken for security check.,Yes,No,,,,No,,,,,,,,
1056,Nexo P12 Speaker,Accessories,Serialised,0,2439,20,"Frequency Response (+6 dB)	60 Hz - 20 kHz
Sensitivity 1W@1m	107 dB
Peak SPL Level (1m)	138dB Peak (Passive mode) / 140dB Peak (Active mode)
Recommended Amplifiers	800 to 1250 Watts / 8Ω
HF Dispersion (according to horns)	60°x60° - 90°x40° - Asymmetrical Dispersion 60° to 100°x40°
Crossover Frequency	60 Hz, 85 Hz, 120 Hz
Nominal Impedance	Active mode (8Ω LF, 8Ω HF), Passive mode: 8Ω
Recommended Power	Active: (800 to 1270 W LF + 400 to 630 W HF) / Passive: 800 to 1270 W

Weight : Net	20 kg (44 lbs)
Height x Width x Depth	534mm x 432mm x 314 mm (21.0” x",Yes,No,,,50,Yes,,,,No,,,,
728,Pack Black cable tie,Accessories,Bulk,0,0,0.15,,Yes,No,,,,Yes,,,,No,,,,
966,Padded transport bag - 35cm x 26cm x 24cm,Accessories,Serialised,0,20,0,Gorilla transport bag,Yes,No,,,0,Yes,,,,No,,,,
1061,PMSE License,Accessories,None,0,0,0,,Yes,No,,,,Yes,,,,No,,,,
1121,Power supply (Allen & Heath CQ-18T),Accessories,Serialised,0,0,0.35,,Yes,No,,,0,Yes,,,,No,,,,
1122,Power supply cable IEC-2meter (Allen & Heath CQ-18T),Accessories,Serialised,0,0,0.25,,Yes,No,,,0,Yes,,,,No,,,,
960,Premier Truss Lectern in Natural Aluminium Finish,Accessories,Serialised,0,451,15,,Yes,No,,,40,Yes,,,,No,,,,
291,ratchet strap - 50mm x 5m,Accessories,Bulk,0,30,0.83,,Yes,No,,,0,Yes,,,,No,,,,
1084,Robe LEDBeam 150 EggCrate,Accessories,Serialised,0,0,0.05,,Yes,No,,,0,Yes,,,,No,,,,
1081,Robe Robin LEDBeam 150 Omega Bracket,Accessories,Serialised,0,0,0.37,,Yes,Yes,,,0,Yes,,,,No,,,,
957,"Round sling, black, 2 tonne",Accessories,Bulk,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
991,Samsung TV remote,Accessories,Serialised,0,0,0.09,,Yes,No,,,0,Yes,,,,No,,,,
1102,Sennheiser CL 1 - 3.5 mm jack adapter cable,Accessories,Serialised,0,16,0.02,"The Sennheiser CL-1 Cable for EK 100 G3 is a line output cable for EK 100 G3, with a 1/8 inch mini plug to a 3.5mm threaded connector.",Yes,No,,,0,Yes,,,,No,,,,
1099,SKB 1SKB-R2U - Roto Moulded Shallow Rack Case - 2U,Accessories,Serialised,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
1022,"Slide/Gobo Holder, for Solar 250 LED",Accessories,Serialised,0,30,0.11,The Solar Slide/Gobo Holder accepts either a 50mm diameter gobo or duplicate 35mm slide and fits any Solar or K Range Effects Projector – past and present.,Yes,No,,,0,Yes,,,,No,,,,
918,"Soft case for Yamaha DXS15 MKII 15""",Accessories,Serialised,0,0,1.15,"Soft case for Yamaha DXS15 MKII 15""",Yes,No,,,0,Yes,,,,No,,,,
487,"Speaker Pole (35mm, locking) - RETIRED",Accessories,Bulk,0,0,2.9,,No,No,,,0,Yes,,,,,,,,
947,Spring clamps,Accessories,Bulk,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
693,TP-Link AC1200 Wi-Fi router power supply,Accessories,Serialised,0,10,0.09,"TP-Link AC1200 Wi-Fi wireless router power supply, 9V.",Yes,Yes,"router power supply,power supply,wifi router,9v power supply,9v",,0,Yes,,,,No,,,,
885,Truss half egg,Accessories,Bulk,0,0,0.1,Truss half egg,Yes,No,,,0,Yes,,,,No,,,,
1027,TV SPIGOT M10,Accessories,Serialised,0,0.2,0.2,"- Strong die-cast aluminium
- 28mm Spigot
- M10 thread
- Bolt included",Yes,No,,,0,Yes,,,,No,,,,
