"Id","Name","Product Group","Allowed Stock Type","Buffer Percentage","Tax Class","Purchase Tax Class","Rental Revenue Group","Sale Revenue Group","Stock Method","Post Rent Unavailability","Replacement Charge","Weight","Barcode","Description","Active","Accessory Only","Tags","Surcharges","Tests & Inspections","Rental Rate Definition","Rental Price","Sale Price","Sub-Rental Cost Group","Sub-Rental Rate Definition","Sub-Rental Price","Purchase Cost Group","Purchase Price","Bulk Quantity Store","Rental Bulk Quantity","Rental Bulk Location","Sale Bulk Quantity","Sale Bulk Location","Discountable","Image Url","Country of Origin Code","include on website?","Location 1","Location 2","Location 3","Location 4","mainsPowerReq","Short description","powerType","Price List Order","Replacement Charge Date","Insurance valuation","supplier URL","Setup time","Testable?","PAT Class"
"91","10m 2-gang power extension (Retired)","xxx","All","0.0","VAT Standard","VAT Standard","Rental","Sale","Bulk","0","20.0","0.0","","","No","No","power","","","3 Day Week Rate","2.0","","Other","","","Other","","Brockley Unit","5.0","","-1.0","","Yes","","","","","","","","","","","","","","","","",""
"93","13A 2-gang power extension, 03m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","12.0","0.6","","","Yes","No","power","","","Weekly Rate","1.2","","Other","","","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/105/original/2-way.jpg","","Yes","Z22-A4-B1-L1-C5-R4","","","","","","","","","5","","3","Yes","Class 1"
"181","13A 2-gang power extension, 05m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","8.76","0.89","","","Yes","No","power","","","Weekly Rate","1.0","","Other","","","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/109/original/2-way.jpg","","No","Z22-A4-B1-L1-C5-R2","Z22-A4-B1-L1-C5-R3","","","","","","","09/11/2021","5","","","Yes","Class 1"
"179","13A 2-gang power extension, 10m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","12.59","1.62","","","Yes","No","power,2gang,2gang 10m,2 gang","","","Weekly Rate","1.0","","Other","","","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/89/original/2-way.jpg","","","Z22-A4-B1-L1-C5-R1","","","","","","","","21/09/2021","9","","","Yes","Class 1"
"245","13A 2-gang power extension, 20m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","20.0","0.0","","","Yes","No","power","","","Weekly Rate","2.0","","Other","","","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/209/original/2-way.jpg","","","","","","","","","","","","15","","","Yes","Class 1"
"96","13A 2-gang power extension (2m)","xxx","Rental","0.0","VAT Standard","VAT Standard","Rental","","Bulk","0","10.0","0.0","13A2Gx2","","No","No","power","","","3 Day Week Rate","1.0","","Other","","","Other","","Brockley Unit","2.0","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/99/original/2-way.jpg","","","","","","","","","","","","","","","Yes","Class 1"
"817","13A 2-gang power extension, H07RN, 05m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","24.55","1.0","","","Yes","No","","","","2 Day week rate","1.5","","Other","2 Day week rate","0.0","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/834/original/CABL810_U02.jpg","","Yes","","","","","","","","","","22","","","Yes","Class 1"
"237","13A 4-gang Power Extension, 00.5m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","4.15","0.21","","","Yes","No","13amp,power,4way","","","Weekly Rate","1.0","","Other","","","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/201/original/61xxyO9dZEL._SX425_.jpg","","Yes","Z22-A2-B1-L4-C1-R1","","","","","","","","21/09/2021","5","","","Yes","Class 1"
"180","13A 4-gang power extension, 02m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Bulk","0","15.0","0.0","PR0007","","No","No","power,4 gang,4 gang 2m","","","3 Day Week Rate","2.0","","Other","","","Other","","Brockley Unit","0.0","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/100/original/4-way.jpg","","No","","","","","","","","","","5","","","Yes","Class 1"
"578","13A 4-gang power extension, 05m","Power Cable and Distribution - 13A","Rental","0.0","VAT Standard","VAT Standard","Rental","","Serialised","0","15.0","0.63","","","Yes","No","4 gang,power,5 gang 5m","","","Weekly Rate","2.0","","Other","","","Other","","","","","","","Yes","https://s3.amazonaws.com/current-rms/9584b170-81cc-0134-ec4f-0a9ca217e95b/icons/419/original/4-way.jpg","","","","","","","","","","","","5","","","Yes","Class 1"
