Id,Name,Description
90,Accessories,""
91,Audio - Amplifiers,""
92,Audio Cable - Adapters,""
93,Audio Cable - Digital,""
94,"Audio Cable - Jack, RCA, other",""
95,Audio Cable - Multicore,""
96,Audio Cable - Speaker,""
97,Audio Cable - XLR,""
98,Audio Cable - XLR splitters,""
99,Audio - DIs,""
100,Audio - DSP,""
101,Audio - Headphones,""
102,Audio - IEMS,""
103,Audio - Microphones,""
104,Audio - Microphones - Packages,""
105,Audio - Microphone Stands and Accessories,""
106,Audio - Microphones (Wireless),""
107,Audio - Mixing Desks and Audio control,""
108,Audio - Speakers (Active),""
109,Audio - Speakers (Battery),""
110,Audio - Speakers (Passive),""
111,Audio - Speaker Stands and Accessories,""
112,Backline,""
113,Cable Packs,""
114,Carts and Dollies,""
115,Coax Cable,""
116,Combi Cables,""
117,"Computers, Tablets, and Tech",""
118,Consumables,""
119,Data Cable,""
120,DJ Kit - Accessories,""
121,DJ Kit - CDJs and Turntables,""
122,DJ Kit - Effects Units,""
123,DJ Kit - Mixers,""
124,DJ Kit - Risers and Booths,""
125,DMX Cable - 5pin,""
126,DMX Cable - Adapters,""
127,Flight Cases,""
128,Infrastructure,""
129,Lighting & Effects,"Lighting, effects, smoke, and associated accessories and support structures."
130,Lighting & Effects - Accessories,""
131,Lighting & Effects - Battery,""
132,Lighting & Effects - Dimmer packs,""
133,Lighting & Effects - Effects,""
134,Lighting & Effects - Festoon,""
135,Lighting & Effects - Lasers,""
136,Lighting & Effects - Lighting Control,""
137,Lighting & Effects - Moving lights,""
138,Lighting & Effects - Profiles,""
139,Lighting & Effects - Smoke and Haze,""
140,Lighting & Effects - Stands and Accessories,""
141,Lighting & Effects - Static LED fixtures,""
142,Lighting & Effects - Strobes,""
143,Lighting & Effects - Truss,""
144,Lighting & Effects - TV and Photography,""
145,Lighting & Effects - Wireless,""
146,Other,""
147,Packages,""
148,Packages - Audio Cable Packages,""
149,Packages - DJ Kit Packages,""
150,Packages - Lighting Packages,""
151,Packages - Power Cable and Distribution Packages,""
152,Packages - Speaker Packages,""
153,Power Cable and Distribution - 13A,""
154,Power Cable and Distribution - 16A,""
155,Power Cable and Distribution - 32A,""
156,Power Cable and Distribution - 63A,""
157,Power Cable and Distribution - Adapters,""
158,Power Cable and Distribution - Circuit Protection,""
159,Power Cable and Distribution - IEC C*,""
160,Power Cable and Distribution - Powercon,""
161,Power Cable and Distribution - Power Distribution,""
162,Power Cable and Distribution - Truecon,""
163,PSU,""
164,Recorders,""
165,RIgging,""
166,Security Deposit,""
167,Soft cases,""
168,Staging,"Staging, drapes, fittings"
169,Staging - Accessories,""
170,Storage,""
171,Surcharge,""
172,Tools,""
173,Truss,""
174,TV,""
175,xxx,""
