name,description,unit_weight,text_item,type,status,sub_rent,quantity
Audio - Microphones (Wireless),"",59.39,false,,,false,0.0
"Sennheiser G4 Wireless Rack ( 4xRecievers, Antennas)","",0.0,false,Rental,Booked Out,false,1.0
Sennheiser ASA 214 active antenna splitter,"",0.7,false,Rental,Booked Out,false,1.0
Sennheiser EW100 G4-GB Receiver,"",0.9,false,Rental,Booked Out,false,4.0
Sennheiser Antenna,"",0.02,false,Rental,Booked Out,false,2.0
Sennheiser NT UK power supply,"",0.07,false,Rental,Booked Out,false,1.0
"13A to PowerCon, 02m","",0.35,false,Rental,Booked Out,false,1.0
"Flight case (5u, 2 door sleeve mount)","",31.0,false,Rental,Booked Out,false,1.0
Tall heavy duty boom microphone stand,"",3.7,false,Rental,Booked Out,false,2.0
Sennheiser A 2003 UHF Passive Wideband Directional Antenna,"",1.41,false,Rental,Booked Out,false,2.0
"Coaxial Cable, 05m","",0.2,false,Rental,Booked Out,false,2.0
Sennheiser G4 wireless mic package ( 1 x Handheld mic),"",0.0,false,Rental,Booked Out,false,1.0
Flight Case (Sennheiser wireless mic single set),"",4.5,false,Rental,Booked Out,false,1.0
Sennheiser EW100 G4-GB Receiver,"",0.9,false,Rental,Booked Out,false,1.0
Sennheiser Antenna,"",0.02,false,Rental,Booked Out,false,2.0
Sennheiser NT UK power supply,"",0.07,false,Rental,Booked Out,false,1.0
Sennheiser SKM 100-835 G4 wireless handheld microphone,"",0.45,false,Rental,Booked Out,false,1.0
Sennheiser Microphone clip,"",0.99,false,Rental,Booked Out,false,1.0
AA battery,"",0.03,false,Sale,Booked Out,false,2.0
Sennheiser SKM 100-835 G4 wireless handheld microphone,"",0.45,false,Rental,Booked Out,false,4.0
Sennheiser Microphone clip,"",0.99,false,Rental,Booked Out,false,4.0
AA battery,"",0.03,false,Sale,Booked Out,false,8.0
Audio - Mixing Desks and Audio control,"",3.6,false,,,false,0.0
Allen & Heath CQ-18T,"",3.0,false,Rental,Booked Out,false,1.0
Power supply (Allen & Heath CQ-18T),"",0.35,false,Rental,Booked Out,false,1.0
Power supply cable IEC-2meter (Allen & Heath CQ-18T),"",0.25,false,Rental,Booked Out,false,1.0
Packages,"",0.0,false,,,false,0.0
Installation cable pack (power),"",0.0,false,Rental,Booked Out,false,1.0
Installation cable pack (signal),"",0.0,false,Rental,Booked Out,false,1.0
Audio Cable - Multicore,"",0.08,false,,,false,0.0
"XLR(m) to XLR(f), 4 way loom, 05m","",0.08,false,Rental,Booked Out,false,1.0
Crew,"",0.0,false,,,false,0.0
Sound Engineer,"",0.0,false,Service,Confirmed,false,1.0
Transport,"",0.0,false,,,false,0.0
Collection,"",0.0,false,Service,Reserved,false,1.0
Delivery,"",0.0,false,Service,Confirmed,false,1.0
Audio Cable - XLR,"",3.18,false,,,false,0.0
"XLR(m) to XLR(f) cable, 02m","",0.21,false,Rental,Booked Out,false,3.0
"XLR(m) to XLR(f) cable, 03m","",0.21,false,Rental,Booked Out,false,3.0
"XLR(m) to XLR(f) cable, 05m","",0.31,false,Rental,Booked Out,false,2.0
"XLR(m) to XLR(f) cable, 15m","",0.65,false,Rental,Booked Out,false,2.0
Audio Cable - Adapters,"",1.72,false,,,false,0.0
"3.5mm TRS Jack(m) to RCA(m) stereo cable, VDC, 01.5m","",0.11,false,Rental,Booked Out,false,2.0
"RCA(f) to RCA(f) barrel connector, dual","",0.01,false,Rental,Booked Out,false,2.0
XLR(f) to RCA(f) adapter,"",0.05,false,Rental,Booked Out,false,2.0
"RCA(m) to XLR(f) cable, 150mm","",0.1,false,Rental,Booked Out,false,2.0
"6.35mm TRS Jack(m) to XLR(f) cable, 05m","",0.29,false,Rental,Booked Out,false,2.0
"6.35mm TRS Jack(m) to XLR(m) cable, 05m","",0.3,false,Rental,Booked Out,false,2.0
"Audio Cable - Jack, RCA, other","",0.1,false,,,false,0.0
"RCA cable, stereo, VDC,  02m","",0.05,false,Rental,Booked Out,false,2.0
Power Cable and Distribution - 13A,"",6.37,false,,,false,0.0
"13A 4-gang Power Extension, 00.5m","",0.21,false,Rental,Booked Out,false,1.0
"13A 4-gang power extension, H07RN, 03m","",0.7,false,Rental,Booked Out,false,1.0
"13A 4-gang power extension, H07RN, 05m","",1.01,false,Rental,Booked Out,false,2.0
"13A 4-gang power extension, H07RN, 10m","",1.72,false,Rental,Booked Out,false,2.0
Soft cases,"",1.8,false,,,false,0.0
Gravity Transport Bag for 6 LONG Microphone Stands (BGMS 6 B),"",1.8,false,Rental,Booked Out,false,1.0
