name,description,unit_weight,text_item,type,status,sub_rent,quantity
Packages - Speaker Packages,"",45.85,false,,,false,0.0
Yamaha DZR Large Party Package,"",0.0,false,Rental,Checked In,false,1.0
"Yamaha DZR10 10"" Active Speaker","",17.9,false,Rental,Checked In,false,2.0
"IEC C13 Socket to 3pin UK Plug, 05m","",0.51,false,Rental,Checked In,false,2.0
Allen & Heath ZED6 mixer,"",1.27,false,Rental,Checked In,false,1.0
6.35mm TS Jack(m) to RCA(f) adaptor,"",0.01,false,Rental,Checked In,false,2.0
"IEC C5 (Cloverleaf) to 3pin UK Plug, 02m","",0.17,false,Rental,Checked In,false,1.0
"3.5mm TRS Jack(m) to RCA(m) stereo cable, VDC, 01.5m","",0.11,false,Rental,Checked In,false,1.0
"XLR(m) to XLR(f) cable, 03m","",0.21,false,Rental,Checked In,false,2.0
"XLR(m) to XLR(f) cable, 05m","",0.31,false,Rental,Checked In,false,4.0
"Speaker Pole (35mm, locking)","",2.9,false,Rental,Checked In,false,2.0
Audio - Speakers (Active),"",108.48,false,,,false,0.0
Yamaha DXR10,"",14.6,false,Rental,Checked In,false,1.0
Speaker stand (Heavy duty),"",5.91,false,Rental,Checked In,false,1.0
"IEC C13 Socket to 3pin UK Plug, 05m","",0.51,false,Rental,Checked In,false,1.0
Yamaha DSR118,"",42.0,false,Rental,Checked In,false,2.0
"IEC C13 Socket to 3pin UK Plug, 02m","",0.26,false,Rental,Checked In,false,2.0
"Soft case, for Yamaha DSR118","",1.47,false,Rental,Checked In,false,2.0
Lighting & Effects - Effects,"",88.64,false,,,false,0.0
Freestanding 50cm Mirror ball package,"",0.0,false,Rental,Checked In,false,1.0
50cm Mirror Ball,"",3.0,false,Rental,Checked In,false,1.0
Flightcase for Mirror Ball,"",13.27,false,Rental,Checked In,false,1.0
Equinox Curve Max Mirror ball Hanging Bracket (white),"",2.1,false,Rental,Checked In,false,1.0
Gravity LS 431 B Square base stand,"",17.8,false,Rental,Checked In,false,1.0
Gravity Adjustable lighting pole for square base,"",1.84,false,Rental,Checked In,false,1.0
Gravity Lighting Stand Square Base,"",14.0,false,Rental,Checked In,false,1.0
Soft case for Gravity Square base,"",0.59,false,Rental,Checked In,false,1.0
M10 Bolt & Washer,"",0.0,false,Rental,Checked In,false,1.0
ADJ Saber Spot WW,"",1.2,false,Rental,Checked In,false,2.0
"13A to PowerCon, 02m","",0.35,false,Rental,Checked In,false,2.0
"Half Coupler Small Easy 48-51mm, 100kg","",0.16,false,Rental,Checked In,false,2.0
35mm Top Hat Stand adapter,"",0.29,false,Rental,Checked In,false,2.0
Round Base Speaker Stand package,"",0.0,false,Rental,Checked In,false,2.0
Gravity Speaker Stand Base (15KG),"",8.5,false,Rental,Checked In,false,2.0
Gravity Speaker Stand Weight (5KG),"",5.0,false,Rental,Checked In,false,2.0
"Gravity adjustable speaker pole 35mm to M20, 1800mm","",2.15,false,Rental,Checked In,false,2.0
Soft case for Gravity Round Base,"",0.37,false,Rental,Checked In,false,2.0
Crew,"",0.0,false,,,false,0.0
Installation tech,"",0.0,false,Service,Confirmed,false,1.0
De-rig crew,"",0.0,false,Service,Confirmed,false,1.0
Lighting & Effects - Battery,"",47.37,false,,,false,0.0
Chauvet Well Fit Battery Uplighters (6 in a charging case),"",26.6,false,Rental,Checked In,false,1.0
Chauvet Well Fit Battery Uplighter,"",3.4,false,Rental,Checked In,false,6.0
"13A to PowerCon, 02m","",0.35,false,Rental,Checked In,false,1.0
Chauvet IRC (Infrared Remote Control),"",0.02,false,Rental,Checked In,false,1.0
DJ Kit - Risers and Booths,"",22.6,false,,,false,0.0
"DJ Booth, painted black","",0.0,false,Rental,Checked In,false,1.0
Litedeck 4 x 2ft,"",17.0,false,Rental,Checked In,false,1.0
Aluminium 3ft scaff leg,"",1.4,false,Rental,Checked In,false,4.0
Transport,"",0.0,false,,,false,0.0
Delivery,"",0.0,false,Service,Confirmed,false,1.0
Collection,"",0.0,false,Service,Confirmed,false,1.0
Soft cases,"",3.76,false,,,false,0.0
"Soft case, for 2 x speaker stands","",0.55,false,Rental,Checked In,false,2.0
Gravity Carry Bag for Distance Poles BG DBLS 331,"",0.81,false,Rental,Checked In,false,1.0
"Soft case, YAMAHA DZR 10","",1.3,false,Rental,Checked In,false,1.0
"Soft case,  for Yamaha DXR10","",0.55,false,Rental,Checked In,false,1.0
Storage,"",4.51,false,,,false,0.0
Storage crate (40 litre black/red),"",2.9,false,Rental,Checked In,false,1.0
Storage crate (21.1 litre black/red),"",1.61,false,Rental,Checked In,false,1.0
