Id,Name,Product Group,Description,mainsPowerReq,powerType,prefPwrCbl,isCable,cblLeng,connector1,connector2
63.0,"16A to TRUE1 Female, 05m",Accessories,,,,,,,,
72.0,2nd tier adapter for K&M 18950 Keyboard Stand,Accessories,2nd tier adapter for K&M 18950 Keyboard Stand,,,,,,,
90.0,"4k HDMI Splitter, 1 in 4 out",Accessories,,,,,,,,
99.0,5 port network hub power supply,Accessories,"5 port network switch / hub power supply, 5V.",,,,,,,
105.0,"6.35mm TRS Jack(m) to 6.35mm TRS Jack(m) cable, 1m",Accessories,,,,,,,,
137.0,8 Port Gigabit Netgear GS308 power supply,Accessories,Netgear 12V power supply for 8 Port Gigabit Ethernet Switch Netgear GS308.,,,,,,,
160.0,AlphaTheta Euphonia Professional 4-channel rotary mixer,Accessories,"Introducing the AlphaTheta Euphonia, a revolutionary DJ rotary mixer. This ground-breaking device boasts a 4-channel rotary mixer with 3-band EQs on each channel, impressive built-in digital FX, an intuitive spectral analyser, digital VU meters - and to top it all off - a renowned Rupert Neve transformer is built in.

The Euphonia, designed by AlphaTheta (the parent company of Pioneer DJ), embodies cutting-edge technology; timeless craftsmanship and user-centric design, setting a new standard for rotary mixers in the industry.

429.2 × 331.0 × 119.9 mm / 16.90"" × 13.03"" x 4.72""",,,,,,,
168.0,Analog to digital audio converter POWER SUPPLY,Accessories,Analog to digital audio converter POWER SUPPLY,,,,,,,
174.0,Apple lightning cable USBA,Accessories,,,,,,,,
175.0,APUTURE Control Box Fixture Clamp,Accessories,APUTURE Control Box Fixture Clamp,,,,,,,
177.0,APUTURE NOVA P300 Control box,Accessories,APUTURE NOVA P300 Control box,,,,,,,
180.0,ART Cleanbox Pro Power Supply,Accessories,ART Cleanbox Pro Power Supply,,,,,,,
193.0,Astera IR Remote Control ARC3,Accessories,,,,,,,,
215.0,Battery powered mirror ball rotator,Accessories,,,,,,,,
220.0,Black cotton casement fabric 1.22m width per m,Accessories,,,,,,,,
227.0,Black star cloth 9m & 3m,Accessories,,,,,,,,
228.0,Blanking Flats,Accessories,,,,,,,,
248.0,"Cable tie, white, pack of 100, 300mm",Accessories,,,,,,,,
250.0,Cameo DMX controller power supply,Accessories,Cameo DMX controller power supply,,,,,,,
252.0,"Cam strap, 2m",Accessories,,,,,,,,
270.0,Chauvet DJ EVE E-100Z Metal & Glass Gobo Holders,Accessories,,,,,,,,
273.0,Chauvet EVE E50Z LED Gobo Holder,Accessories,,,,,,,,
275.0,Chauvet Gig bar MOVE Foot Pedal,Accessories,Wireless footswitch to control GIG bar,,,,,,,
276.0,Chauvet Gig bar screw in remote lock,Accessories,,,,,,,,
302.0,"Coaxial Cable, 02m",Accessories,,,,,,,,
304.0,"Coaxial Cable, 0.5m",Accessories,"Patchcord assembly for wireless and general instrumentation applications

Nickel-plated bodies with gold-plated contacts

Cable Length: 0.5m",,,,,,,
357.0,Engineer cable kit,Accessories,,,,,,,,
372.0,Fender Foot Pedal,Accessories,Fender Foot Pedal,,,,,,,
392.0,Flight Case (AphaTheta Euphonia Mixer),Accessories,,,,,,,,
476.0,Gravity MSTM 1 B Microphone Table Clamp,Accessories,,,,,,,,
488.0,"Half Coupler, 32-35 mm, black, 75KG SWL",Accessories,,,,,,,,
493.0,Hanging bracket for Spot 375Z,Accessories,Hanging bracket for Spot 375Z,,,,,,,
497.0,"HDMI Cable, 10m",Accessories,,,,,,,,
499.0,IDT-GSTK,Accessories,Ground stacking accessory,,,,,,,
516.0,Ipad Cable (2017 model year),Accessories,,,,,,,,
539.0,Laser key,Accessories,Chauvet Gig bar MOVE laser key,,,,,,,
540.0,Laserworld 9 pin Interlock,Accessories,,,,,,,,
585.0,Manfrotto 035WDG Wedge for 035 S Clamp,Accessories,,,,,,,,
587.0,Manfrotto Baby pin coupler,Accessories,"Manfrotto Baby pin coupler 
SWL 300kg",,,,,,,
597.0,micro deposit,Accessories,micro deposits taken for security check.,,,,,,,
629.0,Nexo P12 Speaker,Accessories,"Frequency Response (+6 dB)	60 Hz - 20 kHz
Sensitivity 1W@1m	107 dB
Peak SPL Level (1m)	138dB Peak (Passive mode) / 140dB Peak (Active mode)
Recommended Amplifiers	800 to 1250 Watts / 8Ω
HF Dispersion (according to horns)	60°x60° - 90°x40° - Asymmetrical Dispersion 60° to 100°x40°
Crossover Frequency	60 Hz, 85 Hz, 120 Hz
Nominal Impedance	Active mode (8Ω LF, 8Ω HF), Passive mode: 8Ω
Recommended Power	Active: (800 to 1270 W LF + 400 to 630 W HF) / Passive: 800 to 1270 W

Weight : Net	20 kg (44 lbs)
Height x Width x Depth	534mm x 432mm x 314 mm (21.0” x",,,,,,,
681.0,Pack Black cable tie,Accessories,,,,,,,,
