Id   ,Name                                                                           ,Product Group                                     ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,mainsPowerReq ,powerType                     ,prefPwrCbl ,isCable ,cblLeng ,connector1 ,connector2
1075 ,"16A to TRUE1 Female, 05m"                                                     ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
 921 ,2nd tier adapter for K&M 18950 Keyboard Stand                                  ,Accessories                                       ,2nd tier adapter for K&M 18950 Keyboard Stand                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,              ,                              ,           ,        ,        ,           ,
1007 ,"4k HDMI Splitter, 1 in 4 out"                                                 ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
 695 ,5 port network hub power supply                                                ,Accessories                                       ,"5 port network switch / hub power supply, 5V."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,              ,                              ,           ,        ,        ,           ,
1080 ,"6.35mm TRS Jack(m) to 6.35mm TRS Jack(m) cable, 1m"                           ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
 745 ,8 Port Gigabit Netgear GS308 power supply                                      ,Accessories                                       ,Netgear 12V power supply for 8 Port Gigabit Ethernet Switch Netgear GS308.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,              ,                              ,           ,        ,        ,           ,
1103 ,AlphaTheta Euphonia Professional 4-channel rotary mixer                        ,Accessories                                       ,"Introducing the AlphaTheta Euphonia, a revolutionary DJ rotary mixer. This ground-breaking device boasts a 4-channel rotary mixer with 3-band EQs on each channel, impressive built-in digital FX, an intuitive spectral analyser, digital VU meters - and to top it all off - a renowned Rupert Neve transformer is built in.
                                                                                                                                         
                                                                                                                                         The Euphonia, designed by AlphaTheta (the parent company of Pioneer DJ), embodies cutting-edge technology; timeless craftsmanship and user-centric design, setting a new standard for rotary mixers in the industry.
                                                                                                                                         
                                                                                                                                         429.2 × 331.0 × 119.9 mm / 16.90"" × 13.03"" x 4.72"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,              ,                              ,           ,        ,        ,           ,
 760 ,Analog to digital audio converter POWER SUPPLY                                 ,Accessories                                       ,Analog to digital audio converter POWER SUPPLY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,              ,                              ,           ,        ,        ,           ,
1074 ,Apple lightning cable USBA                                                     ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
 776 ,APUTURE Control Box Fixture Clamp                                              ,Accessories                                       ,APUTURE Control Box Fixture Clamp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,              ,                              ,           ,        ,        ,           ,
 775 ,APUTURE NOVA P300 Control box                                                  ,Accessories                                       ,APUTURE NOVA P300 Control box                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,              ,                              ,           ,        ,        ,           ,
 781 ,ART Cleanbox Pro Power Supply                                                  ,Accessories                                       ,ART Cleanbox Pro Power Supply                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,              ,                              ,           ,        ,        ,           ,
1138 ,Astera IR Remote Control ARC3                                                  ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
 872 ,Battery powered mirror ball rotator                                            ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
1048 ,Black cotton casement fabric 1.22m width per m                                 ,Accessories                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,              ,                              ,           ,        ,        ,           ,
